item_id,item_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten
51d2fb61cc9bff111580dc34,"Juicy Juice Flavored Juice Blend, Fruit Punch",Fruit Punch,2014-11-24T20:24:24.000Z,"Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Passion Fruit Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,28,,26,0,,120,,,,8,8,fl oz,226,,,,,,,,,
55fd0561cc6b8e4c3e3229b6,Bullseye Berry Juice,,2015-09-19T06:48:58.000Z,,,100,,0,,,,,,15,24,,22,0,,100,,,,,1,box,,,,,,,,,,
56006cc4221ca63779cc38cd,100% Apple Juice,,2015-09-21T20:52:19.000Z,,,110,,0,,,,,,20,28,,26,0,,120,,,,8,8,fl oz,,,,,,,,,,
5682820798c8c72f777c7630,Juice,,2015-12-29T12:55:28.000Z,,,120,,0,,,,,,20,29,,27,0,,120,,,,8,8,fl oz,,,,,,,,,,
568cf8113266678504746d78,Peach Apple Juice,,2016-01-06T13:26:40.000Z,,,120,,0,,,,,,20,29,,27,0,,120,,,,8,8,fl oz,,,,,,,,,,
51c36c9f97c3e69de4b083d7,"100% Juice, Apple",Apple,2014-11-24T20:24:24.000Z,"Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",,110,0,0,,,,,,20,28,,26,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36ca097c3e69de4b083de,"100% Juice, Cherry",Cherry,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, Pear Juice and Cherry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36ca197c3e69de4b083ea,"100% Juice, Non-Frozen Concentrate, Punch","Non-Frozen Concentrate, Punch",2014-11-24T20:24:24.000Z,"Apple Juice Concentrate, Water, Grape Juice Concentrate, Passion Fruit Juice Concentrate, Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,10,31,,23,0,0,120,0,0,,6,2,fl oz conc,54,,,,,,,,,
51c36cb997c3e69de4b0849d,"100% Juice, Orange Tangerine",Orange Tangerine,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), and less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,110,0,0,,,,,,15,27,,26,0,0,100,0,0,,8,1,box,,,,,,,,,,
51c36cbf97c3e69de4b084d4,"Juice, Orange Tangerine",Orange Tangerine,2014-11-24T20:24:24.000Z,"Grape Juice, Apple Juice, Orange Juice and Tangerine Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid, Gum Acacia and Beta Carotene for Color, Ascorbic Acid (Vitamin C).",,130,0,0,,,,,,25,32,,29,0,0,0,0,0,,6,8,oz,217,,,,,,,,,
51c36cc297c3e69de4b084f7,"J - Max, Wild Cherry Craze",Wild Cherry Craze,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, Cherry Juice, (Water, Juice Concentrates), Natural Flavors, Citric Acid, (Vitamin C).",,100,0,0,,,,,,15,25,,23,0,0,100,0,0,,10,1,pouch,,,,,,,,,,
51c36cc397c3e69de4b084fc,"J - Max, Berry Lemon Blast",Berry Lemon Blast,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, Lemon Juice, Strawberry Juice, (Water, Juice Concentrates), Citric Acid, Natural Flavors, Ascorbic Acid, (Vitamin C).",,100,0,0,,,,,,15,25,,23,0,0,100,0,0,,10,1,pouch,,,,,,,,,,
